"0","table(subject$biological_sex, subject$race)"
"1","        
"
"1","        "
"1"," American Indian/Alaska Native"
"1"," Asian"
"1"," Black or African American"
"1"," More Than One Race"
"1","
  Female"
"1","                             0"
"1","    32"
"1","                         2"
"1","                 15"
"1","
  Male  "
"1","                             1"
"1","    12"
"1","                         3"
"1","                  4"
"1","
"
"1","        
"
"1","        "
"1"," Native Hawaiian or Other Pacific Islander"
"1"," Unknown or Not Reported"
"1"," White"
"1","
  Female"
"1","                                         1"
"1","                      14"
"1","    48"
"1","
  Male  "
"1","                                         1"
"1","                       7"
"1","    32"
"1","
"
