filename,bpm,rms_energy,spectral_centroid,spectral_contrast,zero_crossing_rate,harmonic_ratio,mfcc_1_mean,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,lyrical_sentiment,tempo_stability,dynamic_range_db,spectral_flatness,onset_rate,onset_strength_mean,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,tonnetz_6,energy_buildup,artist_canonical,artist,Zuttomayo,artist_yorushika,chord_change_rate,chord_diversity,major_chord_ratio,chord_entropy,band_bass_ratio,band_mid_ratio,band_high_ratio,inst_acoustic_guitar,inst_electric_guitar,inst_steel_guitar_slide_guitar,inst_bass_guitar,inst_banjo,inst_mandolin,inst_plucked_string_instrument,inst_violin_fiddle,inst_cello,inst_double_bass,inst_bowed_string_instrument,inst_pizzicato,inst_piano,inst_electric_piano,inst_organ,inst_synthesizer,inst_harpsichord,inst_drum_kit,inst_drum_machine,inst_bass_drum,inst_snare_drum,inst_hi-hat,inst_cymbal,inst_tabla,inst_saxophone,inst_trumpet,inst_trombone,inst_flute,inst_brass_instrument,inst_wind_instrument_woodwind_instrument,inst_singing,inst_male_singing,inst_female_singing,inst_choir,inst_rapping,inst_drum,inst_music,mode_ionian_match,mode_dorian_match,mode_phrygian_match,mode_lydian_match,mode_mixolydian_match,mode_aeolian_match,mode_locrian_match,mode_harmonic_minor_match,mode_melodic_minor_match,mode_pentatonic_maj_match,mode_pentatonic_min_match,mode_blues_match,mode_hirajoshi_match
Ehon.mp3,123.05,0.1156932935118675,1760.626039098363,26.45946184053168,0.071925583,0.8924335558251195,-189.1126099,104.58307647705078,35.20905303955078,1.035120725631714,19.91532325744629,16.11816406,0.463,0.0204,23.39,0.015604057,2.08,1.2261,0.2659774597596449,0.2428339579870624,0.070704604,0.1609466581627742,0.02894195,0.05167629,0.906,mrs_green_apple,TRUE,FALSE,FALSE,1.346,0.833,0.744,2.638,0.2733795344829559,0.4901358187198639,0.005003382,0.0247,0.0014,0.0025,0.0007,0.0001,0.0011,0.0208,0.0002,0.0002,0.0002,0.0007,0.0036,0.0009,0.0008,0.0001,0.0002,0.0005,0.0001,0,0,0,0,0,0,0.0001,0.0001,0,0.0001,0.0001,0.0002,0.0154,0.0005,0.0005,0.0002,0.0001,0.0001,0.693,0.9491,0.8842,0.9018,0.9473,0.9277,0.9003,0.8705,0.9116,0.9026,0.8968,0.8451,0.8588,0.9164
Inspiration.mp3,129.2,0.098452583,2770.8248433397457,22.79039916419617,0.1472926535397813,0.8775497074591273,-165.1325226,66.66193389892578,34.884422302246094,-12.28217602,27.41004180908203,27.74333000183105,0.323,0.031,42.31,0.04856585,3.27,1.5145,0.1925913161880893,0.016378255,-0.03766065,-0.032294051,0.020205008,0.013937583,2.819,mrs_green_apple,TRUE,FALSE,FALSE,1.93,0.833,0.651,3.513,0.2758709490299225,0.1460140347480774,0.021089239,0.0003,0.0001,0.0001,0.0001,0.0001,0.0002,0.0009,0.0134,0.0035,0.001,0.0067,0.0004,0.0048,0.0012,0.0031,0.0021,0.0011,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,0.0005,0.0003,0.0003,0.0002,0.0002,0.0007,0.0006,0.0008,0.0001,0.0001,0.0001,0.0002,0.0004,0.4815,0.9073,0.8945,0.894,0.9007,0.9108,0.8955,0.873,0.9046,0.8975,0.852,0.8683,0.8744,0.8505
Circle.mp3,129.2,0.2098546326160431,1701.295293,25.63608505037775,0.079034802,0.8753093335371265,-137.8174744,130.52178955078125,52.83756637573242,-6.771016121,23.27672768,1.7592962980270386,0.4517,0.0238,20.75,0.011499565,2.04,1.2044,0.1325142085797064,-0.143453703,0.059629722,0.070259765,0.006626678,0.005780064,1.069,mrs_green_apple,TRUE,FALSE,FALSE,1.49,1,0.68,3.8,0.1719428151845932,0.4549707174301147,0.0046452,0.0001,0,0.0001,0,0,0,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0353,0.0261,0.0001,0.0003,0.0004,0.0001,0,0,0,0,0,0,0,0,0,0,0.0001,0,0.0103,0.0009,0.0025,0.0002,0,0.0001,0.7842,0.9004,0.9024,0.8933,0.8844,0.8958,0.9035,0.874,0.9081,0.907,0.8457,0.8444,0.8576,0.8546
BFF.mp3,143.55,0.2033073902130127,2123.032058046722,25.377933518816647,0.075555162,0.8684190560706282,-135.9201965,95.18483734,47.97604370117188,15.956924438476562,23.12628555297852,16.14335060119629,-0.2238,0.0207,18.16,0.032308154,2.38,1.5472,-0.156376647,-0.081341849,-0.143230683,0.056943786,-0.031211267,-0.022932533,1.115,mrs_green_apple,TRUE,FALSE,FALSE,1.779,0.958,0.733,3.338,0.305823803,0.3241590857505798,0.00716425,0.0041,0.0023,0.0012,0.0015,0,0,0.0078,0.0001,0.0002,0.0001,0.0003,0.0004,0.0011,0.0011,0.0001,0.0003,0.0001,0.0001,0,0,0,0,0,0,0.0001,0,0,0,0.0001,0.0001,0.0133,0.0006,0.0012,0.0001,0.0001,0.0001,0.7786,0.8864,0.8558,0.8993,0.8883,0.8806,0.8871,0.893,0.9009,0.8661,0.8255,0.841,0.8637,0.8627
Seeds of Delight.mp3,152,0.2104589343070984,2045.4059707301367,24.22802801370684,0.08605995,0.8141118384126667,-111.7644806,97.65229797,38.942962646484375,4.510342121124268,21.686931610107425,23.42877769470215,0.2407,0.0171,28.01,0.025692785,1.02,1.063,0.1539754722413512,0.1780741448739337,0.005066172,0.1782259323316639,0.018141655,0.030617723,2.352,mrs_green_apple,TRUE,FALSE,FALSE,1.486,0.917,0.71,3.172,0.4078444242477417,0.2528031468391418,0.014855037,0.0028,0.0007,0.001,0.0005,0,0.0009,0.0037,0.0008,0.0003,0.0002,0.0007,0.0018,0.0079,0.0065,0.0003,0.0002,0.0041,0.0007,0,0.0003,0.0002,0.0001,0.0002,0,0.0001,0.0002,0.0001,0.0016,0.0003,0.0007,0.0141,0.0003,0.0004,0.0001,0.0001,0.0008,0.7093,0.933,0.8884,0.8941,0.9345,0.9156,0.8952,0.8944,0.8988,0.9058,0.8885,0.8536,0.8599,0.8773
Hikarinouta.mp3,172.27,0.2062094360589981,1883.681482409973,23.86266044,0.079003495,0.8645335268662407,-109.8430176,107.0953598022461,36.616153717041016,-3.185111523,21.99639320373535,27.87661361694336,-0.0876,0.0123,28.81,0.018674469,2.27,1.114,0.041340631,0.2198052314572308,-0.155341846,0.005570451,-0.036172996,-0.009717646,1.986,mrs_green_apple,TRUE,FALSE,FALSE,1.472,0.917,0.708,2.473,0.3665128946304321,0.2620216310024261,0.00841314,0.0003,0.0001,0.0003,0.0001,0.0005,0.0006,0.001,0.0072,0.004,0.002,0.0067,0.02,0.0117,0.009,0.0003,0.0002,0.0009,0.0016,0,0.001,0.0008,0.0001,0.0001,0,0.0002,0.0001,0.0001,0.0002,0.0003,0.0001,0.0141,0.0005,0.0004,0.0001,0.0001,0.0017,0.7214,0.9397,0.8936,0.8909,0.9456,0.9207,0.8897,0.8861,0.9086,0.9126,0.9029,0.848,0.8696,0.8901
Coffee.mp3,123.05,0.2295338064432144,2026.4401782207303,24.092730637793828,0.072909512,0.8570298260638929,-105.6432419,101.14429473876952,37.12148666381836,5.730847358703613,20.47243881225586,18.40173912,0.5055,0.0209,22.77,0.013214865,2.08,1.1706,0.163215435,-0.128138473,-0.105001657,-0.059582643,-0.010847265,-8.80E-05,1.466,mrs_green_apple,TRUE,FALSE,FALSE,1.917,1,0.636,3.494,0.634985089,0.1756695508956909,0.004737172,0.0003,0.0001,0.0003,0.0002,0,0,0.0008,0.0002,0.0003,0.0005,0.0005,0.0002,0.0545,0.022,0.0002,0.0003,0.0015,0.0082,0,0.0039,0.0045,0.0015,0.0017,0,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0141,0.0006,0.0004,0.0001,0,0.0066,0.6904,0.9184,0.8874,0.8928,0.9104,0.9074,0.8864,0.8837,0.894,0.8889,0.854,0.8491,0.8651,0.8661
Part of me.mp3,78.3,0.2283901572227478,1893.879944494425,24.24609242607951,0.073154816,0.8632669491369225,-105.3072128,105.4072036743164,35.91727828979492,3.869832992553711,20.03841209411621,24.08520126342773,-0.6062,0.0317,18.32,0.017379938,1.67,1.18,0.030911071,0.02976449,-0.047930795,-0.055706491,0.019292302,0.013273583,1.504,mrs_green_apple,TRUE,FALSE,FALSE,1.517,1,0.718,4.16,0.2988103032112121,0.3257646262645721,0.00651937,0.0003,0.0008,0.0007,0.0003,0,0,0.0018,0.0001,0.0001,0.0001,0.0002,0.0001,0.005,0.0063,0.0001,0.0001,0.0002,0.001,0,0.0005,0.0003,0.0002,0.0002,0,0.0001,0,0,0.0001,0.0001,0.0001,0.0149,0.0003,0.0006,0.0001,0,0.001,0.8066,0.8628,0.8534,0.8647,0.8674,0.8591,0.8643,0.8603,0.8734,0.8625,0.8111,0.8105,0.8434,0.8323
Mrs. GREEN APPLE「夏の影」Official Music Video.mp3,129.2,0.2330214232206344,2782.871997745696,23.511391555740538,0.1278934845524774,0.8602463409115522,-98.51451874,70.79048156738281,50.85678863525391,14.368976593017578,20.21446228027344,18.41865921020508,-0.2238,0.0171,38.4,0.037304327,1.31,1.1356,0.062099911,0.028176596,-0.064492297,-0.025982,0.002546925,-0.00118647,0.98,mrs_green_apple,TRUE,FALSE,FALSE,1.895,1,0.582,4.209,0.5026654005050659,0.2645476162433624,0.012755919,0.0003,0.0004,0.0004,0.0005,0,0,0.0015,0.0003,0.0001,0.0001,0.0002,0.0001,0.0006,0.0004,0.0004,0.0001,0.0001,0.0008,0,0.0003,0.0002,0.0001,0.0002,0,0.0001,0.0001,0,0.0009,0.0001,0.0005,0.0198,0.0007,0.0006,0.0002,0.0001,0.0008,0.6574,0.8633,0.8559,0.8734,0.8671,0.861,0.8657,0.8682,0.8696,0.861,0.8067,0.8059,0.8389,0.8363
Bokuno Koto (Orchestra Version).mp3,161.5,0.2130757123231887,1958.0447818143173,23.922563974606945,0.081432057,0.9008054875181636,-94.85370636,104.3049316,33.40134811401367,2.8591325283050537,17.661907196044922,29.621278762817383,-0.1249,0.015,20.08,0.01366918,1.84,1.2185,0.1648282372808631,0.070976806,0.098606357,-0.040779727,-0.00492523,-0.012566167,0.821,mrs_green_apple,TRUE,FALSE,FALSE,1.603,1,0.656,3.664,0.45986262,0.2369615286588668,0.007754821,0.0004,0.0002,0.0001,0.0003,0,0.0001,0.0013,0.0035,0.0053,0.0043,0.0057,0.0006,0.0013,0.0005,0.0006,0.0002,0.0003,0.0004,0,0.0002,0.0001,0.0001,0.0001,0,0.0008,0.0017,0.0023,0.0002,0.0049,0.0002,0.0221,0.0012,0.0011,0.0007,0.0001,0.0005,0.6678,0.9238,0.8924,0.8936,0.919,0.909,0.8942,0.8764,0.909,0.9072,0.8719,0.8435,0.866,0.8699
